Page Number,Question Text,Chapter
75,17. True or false: A statement that throws an exception does not need to be located in a try.,Templates and Exceptions
75,18. The following are errors for which an exception would typically be thrown:.,Templates and Exceptions
76,19. Additional information sent when an exception is thrown may be placed in,Templates and Exceptions
76,20. True or false: A program can continue to operate after an exception has occurred.,Templates and Exceptions
76,"21. If we're talking about dependencies, the template class is the",Templates and Exceptions
76,22. A template class is shown in the UML as,Templates and Exceptions
76,23. True or false: A dependency is a kind of association.,Templates and Exceptions
76,24. A stereotype gives,Templates and Exceptions
77,4. Create a function called swaps () that interchanges the values of the two arguments sent,Templates and Exceptions
77,5. Create a function called amax() that returns the value of the largest element in an array.,Templates and Exceptions
77,6. Start with the safearay class from the ARroveR3 program in Chapter 8. Make this class,Templates and Exceptions
77,7. Start with the frac class and the four-function fraction calculator of Exercise 7 in,Templates and Exceptions
77,8. Add an exception class to the ARroveR3 program in Chapter 8 so that an out-of-bounds,Templates and Exceptions
77,9. Modify the exception class in Exercise 8 (adapted from ARroveR3) so that the error mes-,Templates and Exceptions
77,10. There are various philosophies about when to use exceptions. Refer to the ENGLeRR pro-.,Templates and Exceptions
78,"11. Start with the sTRpLus program in Chapter 8. Add an exception class, and throw an",Templates and Exceptions
78,12. Sometimes the easiest way to use exceptions is to create a new class of which an excep.,Templates and Exceptions
79,1. An STL container can be used to,The Standard Template Library
79,2. The STL sequence containers are v,The Standard Template Library
79,3. Two important STL associative containers are s,The Standard Template Library
79,4. An STL algorithm is,The Standard Template Library
79,5. True or false: One purpose of an iterator in the STL is to connect algorithms and,The Standard Template Library
79,6. The find() algorithm,The Standard Template Library
79,7. True or false: Algorithms can be used only on STL containers,The Standard Template Library
79,8. A range is often supplied to an algorithm by two ij,The Standard Template Library
79,9. What entity is often used to customize the behavior of an algorithm?,The Standard Template Library
80,10. A vector is an appropriate container if you.,The Standard Template Library
80,11. True or false: The back() member function removes the element at the back of the con-.,The Standard Template Library
80,"12. If you define a vector v with the default constructor, and define another vector w with a",The Standard Template Library
80,13. The unique() algorithm removes all.,The Standard Template Library
80,14. In a deque,The Standard Template Library
80,15. In iterator,The Standard Template Library
80,16. True or false: An iterator can always move forward or backward through a container.,The Standard Template Library
80,17. You must use at least a,The Standard Template Library
80,"18. If iter is an iterator to a container, write an expression that will have the value of the",The Standard Template Library
80,19. The copy() algorithm returns an iterator to,The Standard Template Library
80,"20. To use a reverse_iterator, you should",The Standard Template Library
81,21. True or false: The back_inserter iterator always causes the new elements to be inserted,The Standard Template Library
81,"22. Stream iterators allow you to treat the display and keyboard devices, and files, as if they.",The Standard Template Library
81,23. What does the second argument to an ostream_iterator specify?,The Standard Template Library
81,24. In an associative container,The Standard Template Library
81,"25. When defining a set, you must specify how",The Standard Template Library
81,"26. True or false: In a set, the insert () member function inserts a key in sorted order.",The Standard Template Library
81,27. A map stores,The Standard Template Library
81,28. True or false: A map can have two or more elements with the same key value..,The Standard Template Library
81,"29. If you store pointers to objects, instead of objects, in a container",The Standard Template Library
81,"30. If you want an associative container such as set to order itself automatically, you can",The Standard Template Library
82,5. Fill an array with even numbers and a set with odd numbers. Use the merge() algorithm,The Standard Template Library
82,"6. In Exercise 3, two ordinary (non-reverse) iterators were used to reverse the contents of a",The Standard Template Library
82,7. We showed the four-argument version of the accumulate() algorithm in the PLusAIR,The Standard Template Library
82,"8. You can use the copy() algorithm to copy sequences within a container. However, you",The Standard Template Library
82,"9. We listed the function objects corresponding to the C++ operators in Table 15.10, and, in",The Standard Template Library
82,10. You can use the copy_backward() algorithm to overcome the problem described in,The Standard Template Library
83,"11. Write a program that copies a source file of integers to a destination file, using stream.",The Standard Template Library
83,12. A frequency table lists words and the number of times each word appears in a text file.,The Standard Template Library
84,1. True or false: the use case approach is concerned primarily with which methods a class,Object-Oriented Software Development
84,2. Use cases are used to (among other things),Object-Oriented Software Development
84,3. A use case is basically a.,Object-Oriented Software Development
84,"4. True or false: After a use case diagram is created, new use cases can be added after cod-",Object-Oriented Software Development
84,5. A use case description is sometimes written in two.,Object-Oriented Software Development
84,6. An actor might be.,Object-Oriented Software Development
85,7. Classes may be related by (among others) g,Object-Oriented Software Development
85,8. The waterfall process,Object-Oriented Software Development
85,"9. True or false: If the UML is used, the Unified Process must also be used",Object-Oriented Software Development
85,10. Classes in a program may correspond to.,Object-Oriented Software Development
85,"11. True or false: Vague, general entities (such as ""the system"") in a use case descriptions are",Object-Oriented Software Development
85,12. True or false: Entities with a single attribute and no methods are good candidates for,Object-Oriented Software Development
85,"13. In the Unified Process, which of the following may happen from time to time?",Object-Oriented Software Development
85,14. Actors are.,Object-Oriented Software Development
85,"15. For the LANDLORD program, STL container classes",Object-Oriented Software Development
85,16. Class method definitions,Object-Oriented Software Development
86,17. True or false: Attribution is one of the major class relationships..,Object-Oriented Software Development
86,"18. Assume there is an association between class A and class B. Also, objA is an object of",Object-Oriented Software Development
86,19. The LANDLORD program makes use of,Object-Oriented Software Development
86,"20. True or false: In a class diagram, an association is shown as a relationship between",Object-Oriented Software Development
86,21. In a sequence diagram,Object-Oriented Software Development
86,22. A sequence diagram shows messages from one,Object-Oriented Software Development
86,23. True or false: A sequence diagram often describes a single use case.,Object-Oriented Software Development
86,"24. In a sequence diagram, when a new class instance is created.",Object-Oriented Software Development
86,"1. Reread the explanation of the HoRse program from Chapter 10, ""Pointers,' but do not",Object-Oriented Software Development
87,"2. Reread the explanation of the ELEv program from Chapter 13, ""Multifile Programs,"" but",Object-Oriented Software Development
87,3. Create a use case diagram and a class diagram for a business situation you're familiar,Object-Oriented Software Development
87,4. Create a use case diagram and a class diagram for a program you've always wanted to,Object-Oriented Software Development
