Exercise Number,Question Text,Chapter_name
Exercise 6.49,What is a candidate function? What is a viable function?,Functions
Exercise 6.50,"Given the declarations for f from page 242, list the viable functions, if any for each of the following calls. Indicate which function is the best match, or if the call is illegal whether there is no match or why the call is ambiguous. af2.5642bf42cf420df2.563.14",Functions
Exercise 6.51,"Write all four versions of f. Each function should print a distinguish- ing message. Check your answers for the previous exercise. If your answers were incorrect, study this section until you understand why your answers were wrong 6.6.1Argument Type Conversions In order to determine the best match, the compiler ranks the conversions that could be used to convert each argument to the type of its corresponding parameter. Con- versions are ranked as follows: 1. An exact match. An exact match happens when: . The argument and parameter types are identical. The argument is converted from an array or function type to the corre- sponding pointer type. ($ 6.7 (p. 247) covers function pointers.) A top-level const is added to or discarded from the argument. 2. Match through a const conversion (S 4.11.2, p. 162) 3. Match through a promotion (S 4.11.1, p. 160). 4. Match through an arithmetic (S 4.11.1, p. 159) or pointer conversion (S 4.11.2 p.161) 5. Match through a class-type conversion. (S 14.9 (p.579) covers these conver sions.)",Functions
Exercise 6.52,"Given the following declarations, void manip(int, int); double dobj; what is the rank ($ 6.6.1, p. 245) of each conversion in the following calls? amanip'a,z bmanip55.4,dobj);",Functions
Exercise 6.53,"Explain the effect of the second declaration in each one of the following sets of declarations. Indicate which, if any, are illegal. a int calc(int&, int&); int calc(const int&, const int&); (b) int calc(char*, char); int calc(const char*, const char*); (c) int calc(char*, char); int calc(char* const, char* const); 6.7Pointers to Functions A function pointer is just that-a pointer that denotes a function rather than an object. Like any other pointer, a function pointer points to a particular type. A function's type is determined by its return type and the types of its parameters The function's name is not part of its type. For example: //compares lengths of two strings bool lengthCompare(const string &, const string &); has type bool (const string&, const string&). To declare a pointer that can point at this function, we declare a pointer in place of the function name: // pf points to a function returning bool that takes two const string references bool (*pf)(const string &, const string &); // uninitialized Starting from the name we are declaring, we see that pf is preceded by a *, so pf is a pointer. To the right is a parameter list, which means that pf points to a function. Looking left, we find that the type the function returns is boo1. Thus, pf points to a function that has two const string& parameters and returns boo1",Functions
Exercise 6.54,"Write a declaration for a function that takes two int parameters and. returns an int, and declare a vect or whose elements have this function pointer type..",Functions
Exercise 6.55,"Write four functions that add, subtract, multiply, and divide two int. values. Store pointers to these functions in your vect or from the previous exercise.",Functions
Exercise 6.56,Call each element in the vect or and print their result..,Functions
Exercise 7.1,"Write a version of the transaction-processing program from $ 1.6 (p. 24) using the Sa1es_dat a class you defined for the exercises in $ 2.6.1 (p. 72) 7.1.2 Defining the Revised sales data Class Our revised class will have the same data members as the version we defined in S 2.6.1 (p.72): bookNo,a string representing the IsBN; units sold, an unsigned that says how many copies of the book were sold; and revenue, a doub1e representing the total revenue for those sales. As we've seen, our class will also have two member functions, combine and isbn. In addition, well give Sales data another member function to return the average price at which the books were sold. This function, which well name. avg_price, isn't intended for general use. It will be part of the implementation, not part of the interface. We define ($ 6.1, p. 202) and declare ($ 6.1.2, p. 206) member functions similarly to ordinary functions. Member functions must be declared inside the class. Mem- ber functions may be defined inside the class itself or outside the class body. Non- member functions that are part of the interface, such as add, read, and print, are declared and defined outside the class. With this knowledge, we're ready to write our revised version of Sal es_data: struct Sales_data { // new members: operations on Sales_data objects std::string isbn() const {return bookNo; } Sales_data& combine(const Sales_data&); double avg_price() const;",Classes
Exercise 7.2,Add the combine and isbn members to the Sales_data class you wrote for the exercises in  2.6.2 (p. 76),Classes
Exercise 7.3,Revise your transaction-processing program from  7.1.1 (p. 256) to use these members.,Classes
Exercise 7.4,Write a class named Person that represents the name and address of a person. Use a string to hold each of these elements. Subsequent exercises will. incrementally add features to this class.,Classes
Exercise 7.5,"Provide operations in your Person class to return the name and ad- dress. Should these functions be const? Explain your choice.. 7.1.3 Defining Nonmember Class-Related Functions Class authors often define auxiliary functions, such as our add, read, and print functions. Although such functions define operations that are conceptually part of the interface of the class, they are not part of the class itself. We define nonmember functions as we would any other function. As with any other function, we normally separate the declaration of the function from its",Classes
Exercise 7.6,"Define your own versions of the add, read, and print functions",Classes
Exercise 7.7,Rewrite the transaction-processing program you wrote for the exercises in  7.1.2 (p. 260) to use these new functions.,Classes
Exercise 7.8,Why does read define its Sales_data parameter as a plain reference and print define its parameter as a reference to const?.,Classes
Exercise 7.9,Add operations to read and print Person objects to the code you wrote for the exercises in $ 7.1.2 (p. 260).,Classes
Exercise 7.10,"What does the condition in the following i f statement do? if (read(read(cin, datal), data2)) 7.1.4Constructors Each class defines how objects of its type can be initialized. Classes control object initialization by defining one or more special member functions known as con- structors. The job of a constructor is to initialize the data members of a class object A constructor is run whenever an object of a class type is created. In this section, well introduce the basics of how to define a constructor. Con- structors are a surprisingly complex topic. Indeed, well have more to say about constructors in $ 7.5 (p. 288), S 15.7 (p. 622), and  18.1.3 (p. 777), and in Chapter 13 Constructors have the same name as the class.Unlike other functions, con- structors have no return type. Like other functions, constructors have a (possibly empty) parameter list and a (possibly empty) function body. A class can have multiple constructors. Like any other overloaded function (S 6.4, p.230), the con- structors must differ from each other in the number or types of their parameters Unlike other member functions, constructors may not be declared as const (S 7.1.2, p. 258). When we create a const object of a class type, the object does not assume its ""constness"" until after the constructor completes the object's initial ization. Thus, constructors can write to const objects during their construction. The Synthesized Default Constructor Our Sales_data class does not define any constructors, yet the programs we've written that use Sales data objects compile and run correctly. As an example the program on page 255 defined two objects:.",Classes
Exercise 7.11,Add constructors to your Sales_data class and write a program to use each of the constructors.,Classes
Exercise 7.12,Move the definition of the Sales_data constructor that takes an istream into the body of the Sales_data class.,Classes
Exercise 7.13,Rewrite the program from page 255 to use the istream constructor.,Classes
Exercise 7.14,Write a version of the default constructor that explicitly initializes the members to the values we have provided as in-class initializers.,Classes
Exercise 7.15,Add appropriate constructors to your Person class..,Classes
Exercise 7.16,"What, if any, are the constraints on where and how often an access spec- ifier may appear inside a class definition? What kinds of members should be defined after a public specifier? What kinds should be private?.",Classes
Exercise 7.17,"What, if any, are the differences between using class or struct?",Classes
Exercise 7.18,What is encapsulation? Why is it useful?,Classes
Exercise 7.19,"Indicate which members of your Person class you would declare as public and which you would declare as private. Explain your choice... 7.2.1 Friends Now that the data members of Sales_data are private, our read, print, and. add functions will no longer compile. The problem is that although these functions are part of the Sales data interface, they are not members of the class. A class can allow another class or function to access its nonpub1ic members by making that class or function a friend. A class makes a function its friend by including a declaration for that function preceded by the keyword friend: class Sales_data { J/friend declarations for nonmember Sales_dat a operations added. friend Sales_data add(const Sales_data&, const Sales_data&); friend std::istream &read(std::istream&, Sales_data&); friend std::ostream &print(std::ostream&, const Sales_data&); I/other members and access specifiers as before public: Sales_data() = default; Sales_data(const std::string &s, unsigned n, double p): bookNo(s), units_sold(n), revenue(p*n) {} Sales_data(const std::string &s): bookNo(s) {} Sales_data (std::istream&) ; std::string isbn() const { return bookNo; } Sales_data &combine(const Sales_data&); private: std::string bookNo; unsigned units_sold = 0; double revenue = 0.0; } ;",Classes
Exercise 7.20,When are friends useful? Discuss the pros and cons of using friends,Classes
Exercise 7.21,Update your Sales_data class to hide its implementation. The pro- grams you've written to use Sales_data operations should still continue to work. Recompile those programs with your new class definition to verify that they still work.,Classes
Exercise 7.22,"Update your Person class to hide its implementation. 7.3Additional Class Features The Sales_data class is pretty simple, yet it allowed us to explore quite a bit of the language support for classes. In this section, well cover some additional class- related features that Sales_dat a doesn't need to use. These features include type members, in-class initializers for members of class type, mutab1e data members in1 ine member functions, returning * this from a member function, more about how we define and use class types, and class friendship 7.3.1Class Members Revisited To explore several of these additional features, well define a pair of cooperating classes named Screen and Window_mgr. Defining a Type Member A Screen represents a window on a display. Each Screen has a string member that holds the Screen's contents, and three string : : size type members that represent the position of the cursor, and the height and width of the screen. In addition to defining data and function members, a class can define its own local names for types. Type names defined by a class are subject to the same access controls as any other member and may be either public or private: class Screen { public: typedef std::string::size_type pos; private: pos cursor = 0; pos height = 0, width = 0; std::string contents; } ;",Classes
Exercise 7.23,Write your own version of the Screen class.,Classes
Exercise 7.24,"Give your Screen class three constructors: a default constructor; a con- structor that takes values for height and width and initializes the contents to hold the given number of blanks; and a constructor that takes values for height, width, and a character to use as the contents of the screen.",Classes
Exercise 7.25,"Can Screen safely rely on the default versions of copy and assign- ment? If so, why? If not, why not?",Classes
Exercise 7.26,"Define Sales_data: :avg price as an inline function. 7.3.2 Functions That Return *this Next well add functions to set the character at the cursor or at a given location: class Screen { public: Screen &set(char); Screen &set(pos, pos, char); //other members as before }; inline Screen &Screen::set(char c) contents [cursor] = c; / / set the new value at the current cursor location return *this; I/return this object as an lvalue ^ inline Screen &Screen::set(pos r, pos col, char ch) contents[r*width + col] = ch; I/set specified location to given value return *this; //return this object as an lvalue Like the move operation, our set members return a reference to the object on which they are called (S 7.1.2, p. 259). Functions that return a reference are lvalues (S 6.3.2, p. 226), which means that they return the object itself, not a copy of the object. If we concatenate a sequence of these actions into a single expression: I / move the cursor to a given position, and set that character myScreen.move(4,0).set('#'); these operations will execute on the same object. In this expression, we first move the cursor inside myScreen and then set a character in myScreen's contents member. That is, this statement is equivalent to myScreen.move (4, 0) ; myScreen.set('#'); Had we defined move and set to return Screen, rather than Screen&, this state- ment would execute quite differently. In this case it would be equivalent to:",Classes
Exercise 7.27,"Add the move, set, and display operations to your version of Screen. Test your class by executing the following code: Screen myScreen(5, 5,'X'); myScreen.move(4,0).set('#').display(cout); cout <""\n; myScreen.display(cout) ; cout <<""\n;",Classes
Exercise 7.28,"What would happen in the previous exercise if the return type of move, set, and display was Screen rather than Screen&?",Classes
Exercise 7.29,"Revise your Screen class so that move, set, and display functions return Screen and check your prediction from the previous exercise.",Classes
Exercise 7.30,"It is legal but redundant to refer to members through the this pointer. Discuss the pros and cons of explicitly using the thi s pointer to access members. struct First { int memi; int getMem(); }; struct Second { int memi; int getMem(); { First obj1; Second obj2 = obj1; // error:obj1 and obj2 have different types Even if two classes have exactly the same member list, they are different Note types. The members of each class are distinct from the members of any other class (or any other scope). We can refer to a class type directly, by using the class name as a type name. Alternatively, we can use the class name following the keyword class or st ruct: Sales data iteml; default-initialized object of type Sales data class Sales_data iteml; // equivalent declaration Both methods of referring to a class type are equivalent. The second method is inherited from C and is also valid in C++. Class Declarations Just as we can declare a function apart from its definition ($ 6.1.2, p. 206), we can also declare a class without defining it. class Screen; // declaration ofthe Screen class",Classes
Exercise 7.31,"Define a pair of classes X and Y, in which  has a pointer to Y, and Y has an object of type X 7.3.4Friendship Revisited Our Sales data class defined three ordinary nonmember functions as friends (S 7.2.1, p. 269). A class can also make another class its friend or it can declare specific member functions of another (previously defined) class as friends. In ad dition, a friend function can be defined inside the class body. Such functions are. implicitly inline. Friendship between Classes As an example of class friendship, our Window_mgr class (S 7.3.1, p. 274) will have members that will need access to the internal data of the Screen objects it. manages. For example, let's assume that we want to add a member, named clear",Classes
Exercise 7.32,"Define your own versions of Screen and Window_mgr in which clear is a member of window_mgr and a friend of Screen. 7.4Class Scope Every class defines its own new scope. Outside the class scope, ordinary data and function members may be accessed only through an object, a reference, or a pointer using a member access operator (S 4.6, p. 150). We access type members from the class using the scope operator . In either case, the name that follows the operator. must be a member of the associated class.. Screen::pos ht = 24, wd = 80; // use the pos type defined by Screen Screen scr(ht, wd, '); Screen *p = &scr; char c = scr.get () ; // fetches the get member from the object scr c =p->get(); I/fetches the get member from the object to which p points Scope and Members Defined outside the Class The fact that a class is a scope explains why we must provide the class name as well as the function name when we define a member function outside its class ($ 7.1.2 p. 259). Outside of the class, the names of the members are hidden. Once the class name is seen, the remainder of the definition-including the. parameter list and the function bodyis in the scope of the class. As a result, we can refer to other class members without qualification. For example, recall the c1ear member of class window mgr (S 7.3.4, p. 280) That function's parameter uses a type that is defined by Window_mgr: void Window_mgr::clear (ScreenIndex i). Screen &s = screens [i]; S.contents = string(s.height * s.width, ' '); A Because the compiler sees the parameter list after noting that we are in the scope of class window mgr, there is no need to specify that we want the ScreenIndex.",Classes
Exercise 7.33,"What would happen if we gave Screen a size member defined as follows? Fix any problems you identify.. pos Screen::size() const { return height * width;. } 7.4.1 Name Lookup and Class Scope. In the programs we've written so far, name lookup (the process of finding which declarations match the use of a name) has been relatively straightforward: First, look for a declaration of the name in the block in which the name was used. Only names declared before the use are considered If the name isnt found, look in the enclosing scope(s). If no declaration is found, then the program is in error.",Classes
Exercise 7.34,What would happen if we put the typedef of pos in the Screen class on page 285 as the last line in the class?,Classes
Exercise 7.35,"Explain the following code, indicating which definition of Type or initVal is used for each use of those names. Say how you would fix any errors. typedef string Type; Type initVal(); class Exercise { public: typedef double Type; Type setVal (Type); Type initVal(); private: int val; }; Type Exercise::setVal(Type parm) { val = parm + initVal(); return val; }",Classes
Exercise 7.36,"The following initializer is in error. Identify and fix the problem struct x{ X int i, int j): basei),rem(base %j) {} int rem, base; };",Classes
Exercise 7.37,"Using the version of Sales_data from this section, determine which constructor is used to initialize each of the following variables and list the values of the data members in each object: Sales_data first_item(cin); int main(){ Sales_data next;. Sales_data last (""9-999-99999-9""); {",Classes
Exercise 7.38,We might want to supply cin as a default argument to the constructor that takes an istream&. Write the constructor declaration that uses cin as a default argument.,Classes
Exercise 7.39,"Would it be legal for both the constructor that takes a string and the one that takes an istream& to have default arguments? If not, why not?",Classes
Exercise 7.40,"Choose one of the following abstractions (or an abstraction of your own choosing). Determine what data are needed in the class. Provide an appropriate set of constructors. Explain your decisions. a Book bDate (c) Employee (d) vehicle (e) Object (f) Tree 7.5.2Delegating Constructors The new standard extends the use of constructor initializers to let us define so- called delegating constructors. A delegating constructor uses another constructor from its own class to perform its initialization. It is said to delegate"" some (or all) of its work to this other constructor. Like any other constructor, a delegating constructor has a member initializer",Classes
Exercise 7.41,Rewrite your own version of the Sales_data class to use delegating constructors. Add a statement to the body of each of the constructors that prints a message whenever it is executed. Write declarations to construct a Sal es_data object in every way possible. Study the output until you are certain you understand the order. of execution among delegating constructors.,Classes
Exercise 7.42,"For the class you wrote for exercise 7.40 in S 7.5.1 (p.291), decide whether any of the constructors might use delegation. If so, write the delegating con- structor(s) for your class. If not, look at the list of abstractions and choose one that you think would use a delegating constructor. Write the class definition for that abstraction.",Classes
Exercise 7.43,"Assume we have a class named NoDef au1t that has a constructor that takes an int, but has no default constructor. Define a class c that has a member of type NoDefau1t. Define the default constructor for C.",Classes
Exercise 7.44,"Is the following declaration legal? If not, why not? vector<NoDefault> vec (10) ;",Classes
Exercise 7.45,What if we defined the vector in the previous execercise to hold ob- jects of type C?,Classes
Exercise 7.46,"Which, if any, of the following statements are untrue? Why? (a) A class must provide at least one constructor. (b) A default constructor is a constructor with an empty parameter list. (c) If there are no meaningful default values for a class, the class should not pro- vide a default constructor. (d) If a class does not define a default constructor, the compiler generates one that. initializes each data member to the default value of its associated type. 7.5.4Implicit Class-Type Conversions As we saw in $ 4.11 (p. 159), the language defines several automatic conversions among the built-in types. We also noted that classes can define implicit conversions as well. Every constructor that can be called with a single argument defines an implicit conversion to a class type. Such constructors are sometimes referred to as",Classes
Exercise 7.47,Explain whether the Sales_data constructor that takes a string. should be explicit. What are the benefits of making the constructor explicit?. What are the drawbacks?,Classes
Exercise 7.48,"Assuming the Sales_data constructors are not explicit, what op- erations happen during the following definitions string null_isbn(""9-999-99999-9""); Sales_data iteml (null_isbn);. Sales_data item2(*9-999-99999-9""); What happens if the Sales_data constructors are explicit?",Classes
Exercise 7.49,"For each of the three following declarations of combine, explain what happens if we call i. combine (s), where i is a Sales_data and s is a string. (a) Sales_data &combine(Sales_data); (b) Sales_data &combine(Sales_data&); (c) Sales_data &combine(const Sales_data&) const;",Classes
Exercise 7.50,Determine whether any of your Person class constructors should be explicit.,Classes
Exercise 7.51,"Why do you think vector defines its single-argument constructor as. explicit, but string does not?",Classes
Exercise 7.52,"Using our first version of Sa1es_data from  2.6.1 (p. 72), explain the. following initialization. Identify and fix any problems. Sales_data item ={""978-0590353403"", 25,15.99}; 7.5.6Literal Classes In S 6.5.2 (p. 239) we noted that the parameters and return type of a constexpr function must be literal types. In addition to the arithmetic types, references, and pointers, certain classes are also literal types. Unlike other classes, classes that are literal types may have function members that are constexpr. Such members must meet all the requirements of a cons t expr function. These member functions are implicitly const (S 7.1.2, p. 258) An aggregate class ($ 7.5.5, p. 298) whose data members are all of literal type is a literal class. A nonaggregate class, that meets the following restrictions, is also a literal class: The data members all must have literal type. The class must have at least one constexpr constructor. . If a data member has an in-class initializer, the initializer for a member of built-in type must be a constant expression (S 2.4.4, p.65), or if the mem- ber has class type, the initializer must use the member's own constexpr. constructor. . The class must use default definition for its destructor, which is the member that destroys objects of the class type (S 7.1.5, p. 267) constexpr Constructors Although constructors cant be const (S 7.1.4, p. 262), constructors in a literal class can be constexpr (S 6.5.2, p. 239) functions. Indeed, a literal class must provide at least one constexpr constructor. A constexpr constructor can be declared as = def ault ($ 7.1.4, p. 264) (or as a deleted function, which we cover in S 13.1.6 (p. 507). Otherwise, a constexpr constructor must meet the requirements of a constructormeaning it can have no return statement-and of a constexpr function-meaning the only executable statement it can have is a return statement ($ 6.5.2, p. 239). As a result, the body of a constexpr constructor is typically empty. We define a const expr constructor by preceding its declaration with the keyword constexpr: class Debug { public: constexpr Debug(bool b = true): hw(b), io(b), other(b) { } constexpr Debug(bool h, bool i, bool o): hwh),ioi),othero{}",Classes
Exercise 7.53,"Define your own version of Debug,",Classes
Exercise 7.54,"Should the members of Debug that begin with set_be declared as constexpr? If not, why not?",Classes
Exercise 7.55,"Is the Data class from  7.5.5 (p. 298) a literal class? If not, why not? If so, explain why it is literal. 7.6 static Class Members Classes sometimes need members that are associated with the class, rather than with individual objects of the class type. For example, a bank account class might need a data member to represent the current prime interest rate. In this case, we'd want to associate the rate with the class, not with each individual object. From an efficiency standpoint, there'd be no reason for each object to store the rate. Much more importantly, if the rate changes, we'd want each object to use the new value. Declaring static Members We say a member is associated with the class by adding the keyword static to its declaration. Like any other member, static members can be public or private. The type of a static data member can be const, reference, array, class type, and so forth",Classes
Exercise 7.56,What is a static class member? What are the advantages of static members? How do they differ from ordinary members?,Classes
Exercise 7.57,Write your own version of the Account class..,Classes
Exercise 7.58,"Which, if any, of the following stati c data member declarations and. definitions are errors? Explain why. //example.h class Example public: static double rate = 6.5; static const int vecsize = 20; static vector<double> vec(vecSize) ; }; //example.C #include ""example.h"" double Example::rate; vector<double> Example::vec;",Classes
Exercise 8.1,Write a function that takes and returns an istream&. The function should read the stream until it hits end-of-file. The function should print what it reads to the standard output. Reset the stream so that it is valid before returning the stream..,Streams and IO Library
Exercise 8.2,"Test your function by calling it, passing cin as an argument..",Streams and IO Library
Exercise 8.3,"What causes the following whi1e to terminate? while (cin >> i) /* ... * / 8.1.3Managing the Output Buffer Each output stream manages a buffer, which it uses to hold the data that the pro-. gram reads and writes. For example, when the following code is executed os << ""please enter a value: ""; the literal string might be printed immediately, or the operating system might store the data in a buffer to be printed later. Using a buffer allows the operating system. to combine several output operations from our program into a single system-level write. Because writing to a device can be time-consuming, letting the operating. system combine several output operations into a single write can provide an im-. portant performance boost. There are several conditions that cause the buffer to be flushed-that is, to be written-to the actual output device or file: The program completes normally. All output buffers are flushed as part of. the return from main. At some indeterminate time, the buffer can become full, in which case it will be flushed before writing the next value.. .We can flush the buffer explicitly using a manipulator such as end1 (S 1.2, p.7). We can use the unitbuf manipulator to set the stream's internal state to empty the buffer after each output operation. By default, unitbuf is set for cerr, so that writes to cerr are flushed immediately. An output stream might be tied to another stream. In this case, the output stream is flushed whenever the stream to which it is tied is read or written. By default, cin and cerr are both tied to cout. Hence, reading cin or writing to cerr flushes the buffer in cout..",Streams and IO Library
Exercise 8.4,"Write a function to open a file for input and read its contents into a vector of strings, storing each line as a separate element in the vector.",Streams and IO Library
Exercise 8.5,Rewrite the previous program to store each word in a separate element.,Streams and IO Library
Exercise 8.6,"Rewrite the bookstore program from S 7.1.1 (p. 256) to read its transac- tions from a file. Pass the name of the file as an argument to main ($ 6.2.5, p. 218). 8.2.2 File Modes Each stream has an associated file mode that represents how the file may be used Table 8.4 lists the file modes and their meanings.. Table 8.4: File Modes in Open for input out Open for output app Seek to the end before every write. ate Seek to the end immediately after the open. trunc Truncate the file binary Do IO operations in binary mode. We can supply a file mode whenever we open a file--either when we call oper or when we indirectly open the file when we initialize a stream from a file name. The modes that we can specify have the following restrictions: . out may be set only for an ofstream or fstream object . in may be set only for an ifstream or fstream object trunc may be set only when out is also specified.. . app mode may be specified so long as trunc is not. If app is specified, the file is always opened in output mode, even if out was not explicitly specified. By default, a file opened in out mode is truncated even if we do not specify trunc. To preserve the contents of a file opened with out, either we must. also specify app, in which case we can write only at the end of the file, or we must also specify in, in which case the file is open for both input and output (S 17.5.3 (p. 763) will cover using the same file for input and output) The ate and binary modes may be specified on any file stream object type and in combination with any other file modes.. Each file stream type defines a default file mode that is used whenever we do not otherwise specify a mode. Files associated with an ifstream are opened in in mode; files associated with an ofstream are opened in out mode; and files associated with an fstream are opened with both in and out modes..",Streams and IO Library
Exercise 8.7,Revise the bookstore program from the previous section to write its out- put to a file. Pass the name of that file as a second argument to main..,Streams and IO Library
Exercise 8.8,Revise the program from the previous exercise to append its output to its given file. Run the program on the same output file at least twice to ensure that the data are preserved.,Streams and IO Library
Exercise 8.9,Use the function you wrote for the first exercise in  8.1.2 (p. 314) to print. the contents of an istringstream object.,Streams and IO Library
Exercise 8.10,Write a program to store each line from a file in a vector<string>. Now use an istringst ream to read each element from the vector a word at a time..,Streams and IO Library
Exercise 8.11,"The program in this section defined its istringstream object inside. the outer while loop. What changes would you need to make if record were defined outside that loop? Rewrite the program, moving the definition of record outside the whi le, and see whether you thought of all the changes that are needed.",Streams and IO Library
Exercise 8.12,Why didnt we use in-class initializers in PersonInfo?,Streams and IO Library
Exercise 8.13,Rewrite the phone number program from this section to read from a named file rather than from cin.,Streams and IO Library
Exercise 8.14,Why did we declare entry and nums as const auto &?,Streams and IO Library
Exercise 9.1,"Which is the most appropriate- a vector, a deque, or a list-for the. following program tasks? Explain the rationale for your choice. If there is no reason to prefer one or another container, explain why not.. (a) Read a fixed number of words, inserting them in the container alphabetically as they are entered. Well see in the next chapter that associative containers are better suited to this problem. (b) Read an unknown number of words. Always insert new words at the back Remove the next value from the front.. (c) Read an unknown number of integers from a file. Sort the numbers and then print them to standard output. 9.2 Container Library Overview The operations on the container types form a kind of hierarchy: Some operations (Table 9.2 (p. 330)) are provided by all container types. Other operations are specific to the sequential (Table 9.3 (p. 335)), the asso- ciative (Table 11.7 (p. 438)), or the unordered (Table 11.8 (p. 445)) containers Still others are common to only a smaller subset of the containers.",Sequential Containers
Exercise 9.2,Define a 1i st that holds elements that are deques that hold ints.,Sequential Containers
Exercise 9.3,What are the constraints on the iterators that form iterator ranges?,Sequential Containers
Exercise 9.4,Write a function that takes a pair of iterators to a vector<int > and an. int value. Look for that value in the range and return a bool indicating whether it was found.,Sequential Containers
Exercise 9.5,Rewrite the previous program to return an iterator to the requested ele-. ment. Note that the program must handle the case where the element is not found.,Sequential Containers
Exercise 9.6,"What is wrong with the following program? How might you correct it? list<int> lstl; list<int>::iterator iterl = lstl.begin(), iter2 = lstl.end(); while (iterl < iter2) /* ... * / 9.2.2Container Type Members Each container defines several types, shown in Table 9.2 (p. 330). We have al- ready used three of these container-defined types: size_type (S 3.2.2, p. 88), iterator, and const_iterator ($3.4.1,p.108)",Sequential Containers
Exercise 9.7,What type should be used as the index into a vector of ints?,Sequential Containers
Exercise 9.8,"What type should be used to read elements in a 1ist of strings? To write them? 9.2.3 begin and end Members The begin and end operations ($ 3.4.1, p. 106) yield iterators that refer to the first and one past the last element in the container. These iterators are most often used to form an iterator range that encompasses all the elements in the container. As shown in Table 9.2 (p. 330), there are several versions of begin and end The versions with an r return reverse iterators (which we cover in  10.4.3 (p. 407)) Those that start with a c return the const version of the related iterator: list<string> a = {""Milton"", ""Shakespeare"", ""Austen""}; auto itl = a.begin(); // list<string>::iterator auto it2 = a.rbegin(); // list<string>::reverse_iterator auto it3 = a.cbegin(); // list<string>::const_iterator auto it4 = a.crbegin();// list<string>::const_reverse_iterator The functions that do not begin with a c are overloaded. That is, there are actually two members named begin. One is a const member (S 7.1.2, p. 258) that re- turns the container's const iterator type. The other is nonconst and returns the container's iterator type. Similarly for rbegin, end, and rend. When we",Sequential Containers
Exercise 9.9,What is the difference between the begin and cbegin functions?.,Sequential Containers
Exercise 9.10,"What are the types of the following four objects? vector<int> vl; const vector<int> v2; auto itl = vl.begin(), it2 = v2.begin(); auto it3 = vl.cbegin(), it4 = v2.cbegin(); 9.2.4Defining and Initializing a Container Every container type defines a default constructor ($ 7.1.4, p. 263). With the excep- tion of array, the default constructor creates an empty container of the specified type. Again excepting array, the other constructors take arguments that specify the size of the container and initial values for the elements. Initializing a Container as a Copy of Another Container There are two ways to create a new container as a copy of another one: We can directly copy the container, or (excepting array) we can copy a range of elements. denoted by a pair of iterators. To create a container as a copy of another container, the container and element types must match. When we pass iterators, there is no requirement that the con- tainer types be identical. Moreover, the element types in the new and original",Sequential Containers
Exercise 9.11,Show an example of each of the six ways to create and initialize a vector. Explain what values each vector contains..,Sequential Containers
Exercise 9.12,Explain the differences between the constructor that takes a container to copy and the constructor that takes two iterators.,Sequential Containers
Exercise 9.13,"How would you initialize a vector<double> from a list<int>? From a vector<int >? Write code to check your answers.. 9.2.5Assignment and swap The assignment-related operators, listed in Table 9.4 (overleaf) act on the entire container. The assignment operator replaces the entire range of elements in the left-hand container with copies of the elements from the right-hand operand: c1 = c2; 1 /replace the contents of c1 with a copy of the elements in c2. c1 ={a,b,c};// after the assignment c1has size3 After the first assignment, the left- and right-hand containers are equal. If the containers had been of unequal size, after the assignment both containers would have the size of the right-hand operand. After the second assignment, the si ze of. c1 is 3, which is the number of values provided in the braced list.",Sequential Containers
Exercise 9.14,"Write a program to assign the elements from a 1ist of char + pointers to C-style character strings to a vector of strings 9.2.6 Container Size Operations With one exception, the container types have three size-related operations. The si ze member (S 3.2.2, p. 87) returns the number of elements in the container; empty returns a bool that is true if size is zero and false otherwise; and max size returns a number that is greater than or equal to the number of ele- ments a container of that type can contain. For reasons well explain in the next section, forward list provides max sizeand empty, but not size. 9.2.7 Relational Operators Every container type supports the equality operators (== and ! =); all the contain- ers except the unordered associative containers also support the relational oper- ators (>, >=, <, <=). The right- and left-hand operands must be the same kind of container and must hold elements of the same type. That is, we can com- pare a vector<int> only with another vector<int>. We cannot compare a vector<int> witha list<int>ora vector<double>. Comparing two containers performs a pairwise comparison of the elements. These operators work similarly to the st ring relationals (S 3.2.2, p. 88): If both containers are the same size and all the elements are equal, then the. two containers are equal; otherwise, they are unequal. . If the containers have different sizes but every element of the smaller one is. equal to the corresponding element of the larger one, then the smaller one is less than the other. If neither container is an initial subsequence of the other, then the comparison depends on comparing the first unequal elements. The following examples illustrate how these operators work. vector<int>vl ={1,35,7,912}; vector<int>v2 ={139}; vector<int>v3 ={1,35,7}; vector<int>v4 ={1,35,7,912}; vl  v2 true; v1 and v2 differ at element [2]: v1 [2] is less than v2 [2] v1 < v3 // fa 1 se; all elements are equal, but v3 has fewer of them; v1 == v4 // true; each element is equal and v1 and v4 have the same si ze () v1 s=v2// fa1se; v2 has fewer elements than v1",Sequential Containers
Exercise 9.15,Write a program to determine whether two vector<int >s are equal..,Sequential Containers
Exercise 9.16,"Repeat the previous program, but compare elements in a 1ist<int >. to a vector<int>.",Sequential Containers
